Organization,Project Name,Project (sq.ft.),Project Address,Zip Code,1 Star,2 Star,3 Star,4 Star,5 Star,AEGB Rating,LEED Certification,Building Use,Agreements,Voluntary Participation,Program,Rating Version,Fiscal Year Reported,PropertyID,New Georeferenced Column,Stories Above Grade,Number of Residential Units,Fiscal Year Date,Fiscal Year End Date,City,State,Boundaries: Austin MSA Census Tracts 2010,"Boundaries: Zip Code Tabulation Areas, 2017",Boundaries: City of Austin Council Districts,Cartographic Boundary File - Census Tracts,Cartographic Boundary File - County,"Boundaries: Zip Code Tabulation Areas, 2017 2",BOUNDARIES_single_member_districts,Neighborhood Planning Areas,Community Registry,Zipcodes
,The Rail,157377,2921 E 17TH ST,78702,0,0,1,0,0,3-star,,Residential/ Retail,S.M.A.R.T. Housing,No,Multifamily,MF-Rating 2016,2022,,POINT (-97.710082027 30.277994983),5,235,10/01/2021,09/30/2022,Austin,TX,21,26,9,332,6,7,8,23,309,1
,Trinsic Aura University Park,566307,3233 HARMON AVE,78705,0,1,0,0,0,2-star,,Residential,East Avenue (PUD),No,Multifamily,MF-Rating 2016,2021,,POINT (-97.723586027 30.290217013),5,380,10/01/2020,09/30/2021,Austin,TX,12,44,5,341,6,43,10,50,318,50
,Quarters at Cameron House,76615,2707 RIO GRANDE ST,78705,0,0,1,0,0,3-star,,Residential/ Office,"University Neighborhood Overlay (UNO), S.M.A.R.T. Housing",No,Multifamily,Pre 2007 Rating,2007,,POINT (-97.743841986 30.292380005),4,64,10/01/2006,09/30/2007,Austin,TX,16,44,5,189,6,43,10,44,217,50
,Waterloo Terrace,78800,12190 N MOPAC EXPY SVRD SB,78758,0,0,0,1,0,4-star,Gold,Residential/ Office/ Other,S.M.A.R.T. Housing,No,Multifamily,MF-Rating 2016,2021,,POINT (-97.708275323 30.413622411),3,132,10/01/2020,09/30/2021,Austin,TX,116,11,6,354,6,22,7,,540,18
,Promesa,392222,9415 MC NEIL DR,78750,1,0,0,0,0,1-star,,Residential,0,Yes,Multifamily,MF-Rating 2010,2013,,POINT (-97.827435042 30.394687001),3,289,10/01/2012,09/30/2013,Austin,TX,51,48,3,183,6,39,5,,540,28
,Rosemont at Hidden Creek,237600,9345 E US 290 HWY SVRD EB,78724,0,1,0,0,0,2-star,,Residential,S.M.A.R.T. Housing,No,Multifamily,Pre 2007 Rating,2006,,POINT (-97.642068544 30.329077955),3,250,10/01/2005,09/30/2006,Austin,TX,173,41,9,208,6,46,8,,309,8
,AMLI Covered Bridge,214823,8715 W SH 71,78735,0,1,0,0,0,2-star,Gold,Residential,Covered Bridge PUD,No,Multifamily,MF-Rating 2010,2016,,POINT (-97.898149974 30.248499988),3,230,10/01/2015,09/30/2016,Austin,TX,82,54,4,92,6,33,2,73,295,27
,Quarters at Nueces House,280575,2300 NUECES ST,78705,0,0,1,0,0,3-star,,Residential,"University Neighborhood Overlay (UNO), S.M.A.R.T. Housing",No,Multifamily,Pre 2007 Rating,2008,,POINT (-97.744010965 30.287247012),8,243,10/01/2007,09/30/2008,Austin,TX,17,44,5,48,6,43,10,44,217,50
,IMT at the Domain,247532,3210 ESPERANZA XING,78758,0,0,1,0,0,3-star,,Residential/ Office/ Retail,Domain (PDA),No,Multifamily,MF-Rating 2010,2013,,POINT (-97.723779985 30.400422989),4,223,10/01/2012,09/30/2013,Austin,TX,131,11,6,139,6,22,7,45,217,18
,Villas at San Gabriel,365158,2414 SAN GABRIEL ST,78705,1,0,0,0,0,1-star,,Residential,"University Neighborhood Overlay (UNO), S.M.A.R.T. Housing",No,Multifamily,MF-Rating 2013,2018,,POINT (-97.748367962 30.289110015),6,92,10/01/2017,09/30/2018,Austin,TX,16,44,5,189,6,43,10,44,217,50
,East 20th Apartments,3200,1803 E 20TH ST,78722,0,0,1,0,0,3-star,,Residential,0,Yes,Multifamily,Pre 2007 Rating,2003,,POINT (-97.721991035 30.280487007),1,8,10/01/2002,09/30/2003,Austin,TX,13,22,9,165,6,11,8,27,309,74
,Safe Place,12360,1515 GROVE BLVD,78741,1,0,0,0,0,1-star,,Residential/ Office/ Other,,Yes,Multifamily,MF-Rating 2017,2002,,POINT (-97.705552027 30.230883993),2,14,10/01/2001,09/30/2002,Austin,TX,190,25,2,78,6,8,3,46,365,55
,AMLI Mueller III South,322471,4524 MATTIE ST,78722,0,1,0,0,0,2-star,Platinum,Residential/ Retail,"S.M.A.R.T. Housing, Mueller LEED only",No,Multifamily,MF-Rating 2016,2023,,POINT (-97.703311042 30.298100989),5,169,10/01/2022,09/30/2023,Austin,TX,10,14,5,94,6,19,10,38,309,33
