Organization,Project Name,Project (sq.ft.),Project Address,Zip Code,1 Star,2 Star,3 Star,4 Star,5 Star,AEGB Rating,LEED Certification,Building Use,Agreements,Voluntary Participation,Program,Rating Version,Fiscal Year Reported,PropertyID,New Georeferenced Column,Stories Above Grade,Number of Residential Units,Fiscal Year Date,Fiscal Year End Date,City,State
,Ella Wooten Park at Mueller,3430,2047 MCCLOSKEY ST,78723,0,0,0,1,0,4-star,,Other,Mueller Development (PUD),No,Commercial,Commercial Rating 2006,2008,,POINT (-97.702713608 30.292802699),1,,10/01/2007,09/30/2008,Austin,TX
,AUS Administration Building,81800,3600 PRESIDENTIAL BLVD,78719,0,0,0,0,0,,Gold,Office,,Yes,Commercial,LEED BD+C: New Construction v3 - LEED 2009,2021,,POINT (-97.667525009 30.20215699),5,,10/01/2020,09/30/2021,Austin,TX
,Turner Roberts Recreation Center,14800,7201 COLONY LOOP DR,78724,0,0,1,0,0,3-star,Silver,Other,,Yes,Commercial,Commercial Rating 2006,2011,,POINT (-97.635997989 30.300327013),1,,10/01/2010,09/30/2011,Austin,TX
,LIVESTRONG Foundation,28242,505 ROBERT T MARTINEZ JR ST,78702,0,0,0,1,0,4-star,,Office,,Yes,Commercial,Commercial Rating 2008,2009,,POINT (-97.718582376 30.260134089),1,,10/01/2008,09/30/2009,Austin,TX
,City of Austin Planning & Development Center,262800,6310 WILHELMINA DELCO DR,78752,0,0,0,1,0,4-star,,Office/ Retail,,Yes,Commercial,COMMERCIAL RATING 2016,2021,,POINT (-97.71631 30.33275),5,0,10/01/2020,09/30/2021,Austin,TX
,Domain 12,325307,11800 ALTERRA PKWY,78758,0,0,0,0,0,,Gold,Office,"Domain (PDA), Domain - LEED only",No,Commercial,LEED BD+C: Core and Shell v3 - LEED 2009,2020,,POINT (-97.719360961 30.404095981),17,,10/01/2019,09/30/2020,Austin,TX
,Shops at Braker Domain,13140,3310 W BRAKER LN,78758,1,0,0,0,0,1-star,,Retail,North Burnet/Gateway,No,Commercial,Commercial Rating 2010,2017,,POINT (-97.725987024 30.393022984),1,,10/01/2016,09/30/2017,Austin,TX
,Austin Energy Town Lake Center 5th Floor,17980,721 BARTON SPRINGS RD,78704,0,0,0,0,0,,Silver,Office,,Yes,Commercial,LEED ID+C: Commercial Interiors v3 - LEED 2009,2017,,POINT (-97.751976036 30.258649006),1,,10/01/2016,09/30/2017,Austin,TX
,EcoMat of Austin,19885,2915 GUADALUPE ST,78705,0,0,0,0,0,pilot,,Retail,,Yes,Commercial,Pilot Commercial Rating,1998,,POINT (-97.742155966 30.295759002),1,,10/01/1997,09/30/1998,Austin,TX
,Dell Pediatric Research Institute,150000,1400 BARBARA JORDAN BLVD,78723,0,0,0,0,0,,Gold,Other,Mueller LEED only,No,Commercial,LEED BD+C: New Construction v2 - LEED 2.2,2009,,POINT (-97.704081003 30.304783001),3,,10/01/2008,09/30/2009,Austin,TX
,Velocity Credit Union - Downtown Branch,5251,705 E 12TH ST,78701,1,0,0,0,0,1-star,,Office,Downtown (CBD-DMU),No,Commercial,COMMERCIAL RATING 2016,2021,,POINT (-97.73368203 30.271613002),1,0,10/01/2020,09/30/2021,Austin,TX
,Dell Children's - Specialty Pavilion,161320,4910 MUELLER BLVD,78723,0,0,0,1,0,4-star,,Office/ Health Care,"Mueller Development (PUD), Mueller LEED only",No,Commercial,COMMERCIAL RATING 2016,2023,,POINT (-97.706071035 30.302221994),4,,10/01/2022,09/30/2023,Austin,TX
,AISD Southeast Bus Terminal,20650,7200 BLUFF SPRINGS RD,78745,0,1,0,0,0,2-star,,Office/ Other,,Yes,Commercial,Commercial Rating 2009,2013,,POINT (-97.771318032 30.182329011),1,,10/01/2012,09/30/2013,Austin,TX
,Eyemasters at Mueller,3490,1201 BARBARA JORDAN BLVD 14 UNIT 1480,78723,0,0,1,0,0,3-star,,Retail,Mueller Development (PUD),No,Commercial,Commercial Rating 2006,2010,,POINT (-97.70985999 30.30557002),1,,10/01/2009,09/30/2010,Austin,TX
,St. David's Foundation,47215,1303 SAN ANTONIO ST,78701,1,0,0,0,0,1-star,,Office/ Retail,Downtown (CBD-DMU),No,Commercial,Commercial Rating 2010,2016,,POINT (-97.744427965 30.276640006),8,,10/01/2015,09/30/2016,Austin,TX
,Covered Bridge Village - Retail Building 1,4880,8701 W SH 71,78735,0,1,0,0,0,2-star,,Retail/ Restaurant/ Other,Covered Bridge PUD,No,Commercial,COMMERCIAL RATING 2013,2018,,POINT (-97.895536999 30.249849013),1,,10/01/2017,09/30/2018,Austin,TX
,2100 Nueces Street,188607,2100 NUECES ST,78705,1,0,0,0,0,1-star,,Residential,University Neighborhood Overlay (UNO),No,Commercial,COMMERCIAL RATING 2016,2019,,POINT (-97.744359988 30.28416201),18,158,10/01/2018,09/30/2019,Austin,TX
,Church of Conscious Harmony,30435,7406 NEWHALL LN,78746,0,0,0,0,0,pilot,,Worship,,Yes,Commercial,Pilot Commercial Rating,2000,,POINT (-97.844727998 30.307431012),1,,10/01/1999,09/30/2000,Austin,TX
,Frost Bank - Mueller,4760,1200 BARBARA JORDAN BLVD 2,78723,0,0,0,0,0,,Gold,Office,Mueller LEED only,No,Commercial,LEED BD+C: New Construction v2 - LEED 2.1,2010,,POINT (-97.70983803 30.307796002),1,,10/01/2009,09/30/2010,Austin,TX
,Container Bar,2215,610 DAVIS ST,78701,1,0,0,0,0,1-star,,Office/ Other,Downtown (CBD-DMU),No,Commercial,Commercial Rating 2010,2017,,POINT (-97.738455021 30.260315999),2,,10/01/2016,09/30/2017,Austin,TX
,Holdsworth Center,194000,4907 FM 2222 RD,78731,0,0,0,1,0,4-star,,Office/ Restaurant/ Hotel/ School/ Other,Holdsworth Center PUD,No,Commercial,COMMERCIAL RATING 2016,2022,,POINT (-97.753635 30.35873),31,247,10/01/2021,09/30/2022,Austin,TX
,2100 San Antonio Apartments,232542,2100 SAN ANTONIO ST,78704,1,0,0,0,0,1-star,,Residential/ Worship,"University Neighborhood Overlay (UNO), S.M.A.R.T. Housing",No,Commercial,COMMERCIAL RATING 2013,2018,,POINT (-97.743271011 30.284163016),19,188,10/01/2017,09/30/2018,Austin,TX
,AISD Jaime D. Padròn Elementary School,160070,2011 RUNDBERG LN,78758,0,0,0,1,0,4-star,Gold,School,,Yes,Commercial,Commercial Rating 2009,2015,,POINT (-97.720049032 30.373526006),1,,10/01/2014,09/30/2015,Austin,TX
,AISD Hill Elementary Renovations/Library Addition,70185,8601 TALLWOOD DR,78759,0,0,0,0,0,pilot,,School,,Yes,Commercial,Pilot Commercial Rating,2001,,POINT (-97.748703993 30.376637997),1,,10/01/2000,09/30/2001,Austin,TX
,Ann Richards School for Young Women Leaders,205750,2309 PANTHER TRL,78704,0,0,0,1,0,4-star,Silver,School,,Yes,Commercial,COMMERCIAL RATING 2016,2022,,POINT (-97.78828401 30.236441991),1,,10/01/2021,09/30/2022,Austin,TX
,Blazier Intermediate School,137172,8801 VERTEX BLVD,78744,0,0,0,1,0,4-star,,School,,Yes,Commercial,COMMERCIAL RATING 2016,2022,,POINT (-97.752777131 30.152859745),3,,10/01/2021,09/30/2022,Austin,TX
,Dell Children's Medical Center of Central Texas at Mueller,475000,4900 MUELLER BLVD,78723,0,0,0,0,1,5-star,Platinum,Health Care,Mueller Development (PUD),No,Commercial,Commercial Rating 2006,2008,,POINT (-97.706609991 30.303677009),3,,10/01/2007,09/30/2008,Austin,TX
,AISD Stephen F. Austin High School Additions and Renovations,21350,1715 W CESAR CHAVEZ ST,78703,0,0,1,0,0,3-star,,School,,Yes,Commercial,Commercial Rating 2009,2011,,POINT (-97.767058014 30.273657013),2,,10/01/2010,09/30/2011,Austin,TX
,Harrison Building,10803,3205 INDUSTRIAL TER,78758,1,0,0,0,0,1-star,,Office/ Warehouse,North Burnet/Gateway,No,Commercial,COMMERCIAL RATING 2013,2020,,POINT (-97.732369005 30.38090602),2,,10/01/2019,09/30/2020,Austin,TX
,The Austonian,648224,200 CONGRESS AVE,78701,0,0,0,1,0,4-star,,Residential/ Retail,Downtown (CBD-DMU),No,Commercial,Commercial Rating 2006,2012,,POINT (-97.744490997 30.264792983),56,163,10/01/2011,09/30/2012,Austin,TX
,The Whitley,281700,301 BRAZOS ST,78701,0,0,1,0,0,3-star,Silver,Residential/ Office/ Retail/ Other,Downtown (CBD-DMU),No,Commercial,Commercial Rating 2010,2014,,POINT (-97.741889003 30.265021012),17,262,10/01/2013,09/30/2014,Austin,TX
,Domain 2.5,60030,11809 DOMAIN DR,78758,0,0,0,0,0,,Silver,Office,Domain - LEED only,No,Commercial,LEED BD+C: Core & Shell v4,2023,,POINT (-97.72309401 30.404331009),4,,10/01/2022,09/30/2023,Austin,TX
,South Block FLR - II,27800,405 N LAMAR BLVD,78703,1,0,0,0,0,1-star,,Office/ Retail,Downtown (CBD-DMU),No,Commercial,Commercial Rating 2010,2014,,POINT (-97.754579958 30.269402987),3,,10/01/2013,09/30/2014,Austin,TX
,Mueller Central at Mueller,8540,4550 MUELLER BLVD,78723,0,0,0,1,0,4-star,Gold,Office,Mueller Development (PUD),No,Commercial,Commercial Rating 2006,2007,,POINT (-97.707302001 30.297201988),1,,10/01/2006,09/30/2007,Austin,TX
,Sienna at the Thompson,640892,501 BRAZOS ST,78701,0,1,0,0,0,2-star,,Residential/ Retail/ Hotel,"Downtown (CBD-DMU), Downtown Density Bonus Program (DDBP)",No,Commercial,COMMERCIAL RATING 2016,2023,,POINT (-97.741174026 30.266868007),32,331,10/01/2022,09/30/2023,Austin,TX
,Third & Trinity Restaurants - Shell Building,19244,305 E 3RD ST,78701,1,0,0,0,0,1-star,,Restaurant,,Yes,Commercial,Pilot Commercial Rating,2005,,POINT (-97.740811006 30.264107008),2,,10/01/2004,09/30/2005,Austin,TX
,Austin Habitat for Humanity ReStore and Headquarters,52446,500 W BEN WHITE BLVD,78704,0,0,0,1,0,4-star,,Office/ Retail/ Warehouse,,Yes,Commercial,COMMERCIAL RATING 2013,2019,,POINT (-97.767864018 30.226638015),1,,10/01/2018,09/30/2019,Austin,TX
,Public,281710,4361 S CONGRESS AVE,78745,0,1,0,0,0,2-star,,Residential/ Office,4367 S Congress Ave (RCA),No,Commercial,COMMERCIAL RATING 2013,2019,,POINT (-97.766548981 30.217600982),7,,10/01/2018,09/30/2019,Austin,TX
,The Villas at Nueces,143696,2207 NUECES ST,78705,1,0,0,0,0,1-star,,Residential,University Neighborhood Overlay (UNO),No,Commercial,COMMERCIAL RATING 2016,2020,,POINT (-97.743544009 30.285625993),7,99,10/01/2019,09/30/2020,Austin,TX
,Old Navy at Mueller,14980,1201 BARBARA JORDAN BLVD 5,78723,0,0,1,0,0,3-star,,Retail,Mueller Development (PUD),No,Commercial,Commercial Rating 2006,2007,,POINT (-97.709006964 30.306354021),1,,10/01/2006,09/30/2007,Austin,TX
