Organization,Project (sq.ft.),Zip Code,1 Star,2 Star,3 Star,4 Star,5 Star,AEGB Rating,LEED Certification,Building Use,Agreements,Voluntary Participation,Program,Rating Version,Fiscal Year Reported,PropertyID,New Georeferenced Column,Stories Above Grade,Number of Residential Units,Fiscal Year Date,Fiscal Year End Date,City,State,
MileStone Community Builders,,78744,0,1,0,0,0,2-star,,Residential,,,Single Family,2013,2017,,POINT (-97.723887022 30.164570985),,1,10/1/16,9/30/17,Austin,TX,
Newmark Homes,,78749,0,1,0,0,0,2-star,,Residential,,,Single Family,6,2000,,POINT (-97.882269033 30.207847003),,1,10/1/99,9/30/00,Austin,TX,
Cheldan Homes,,78617,0,0,1,0,0,3-star,,Residential,,,Single Family,7.2,2009,,POINT (-97.619291012 30.17746998),,1,10/1/08,9/30/09,Del Valle,TX,
David Weekley Homes,,78723,0,0,1,0,0,3-star,,Residential,,,Single Family,2013,2017,,POINT (-97.697737998 30.294573004),,1,10/1/16,9/30/17,Austin,TX,
Streetman Homes,,78723,0,0,1,0,0,3-star,,Residential,,,Single Family,2013,2019,,POINT (-97.698881038 30.296250014),,1,10/1/18,9/30/19,Austin,TX,
Avi Homes,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,2016,2021,,POINT (-97.755033 30.15239099),,1,10/1/20,9/30/21,Austin,TX,
Austin Habitat for Humanity,,78724,0,0,0,1,0,4-star,,Residential,,,Single Family,2016,2019,,POINT (-97.644718018 30.307172011),,1,10/1/18,9/30/19,Austin,TX,
SDC Austin Commun.,,78724,0,0,1,0,0,3-star,,Residential,,,Single Family,II,1996,,POINT (-97.638646 30.30398102),,1,10/1/95,9/30/96,Austin,TX,
D.R. Horton,,78748,1,0,0,0,0,1-star,,Residential,,,Single Family,2008.2,2012,,POINT (-97.836630248 30.19243417),,1,10/1/11,9/30/12,Austin,TX,
DR Horton,,78754,1,0,0,0,0,1-star,,Residential,,,Single Family,2013,2019,,POINT (-97.650523995 30.357143996),,1,10/1/18,9/30/19,Austin,TX,
Streetman Homes,,78723,0,0,1,0,0,3-star,,Residential,,,Single Family,2013,2019,,POINT (-97.699847975 30.297121019),,1,10/1/18,9/30/19,Austin,TX,
Centex Homes,,78617,1,0,0,0,0,1-star,,Residential,,,Single Family,7.1,2005,,POINT (-97.623593024 30.167833013),,1,10/1/04,9/30/05,Del Valle,TX,
D.R. Horton,,78745,1,0,0,0,0,1-star,,Residential,,,Single Family,7,2005,,POINT (-97.817589994 30.190563016),,1,10/1/04,9/30/05,Austin,TX,
KB Home,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,7,2007,,POINT (-97.742130988 30.159924016),,1,10/1/06,9/30/07,Austin,TX,
KB Home,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,7,2005,,POINT (-97.741346023 30.158181),,1,10/1/04,9/30/05,Austin,TX,
Pacesetter Homes,,78744,0,1,0,0,0,2-star,,Residential,,,Single Family,2013,2018,,POINT (-97.714500966 30.158256018),,1,10/1/17,9/30/18,Austin,TX,
Greenbelt Homes,,,,,,,,,,,,,,,,,,,,,,,,
Lennar,,78744,1,0,0,0,0,1-star,,Residential,,,Single Family,8 legacy,2014,,POINT (-97.701813028 30.197548997),,1,10/1/13,9/30/14,Austin,TX,
David Weekley Homes,,78723,0,0,1,0,0,3-star,,Residential,,,Single Family,2013,2015,,POINT (-97.695629028 30.292248996),,1,10/1/14,9/30/15,Austin,TX,
GFO Home,,78653,0,0,1,0,0,3-star,,Residential,,,Single Family,2016,2020,,POINT (-97.557204998 30.296007986),,1,10/1/19,9/30/20,Manor,TX,
Newmark Homes,,78749,0,1,0,0,0,2-star,,Residential,,,Single Family,6,2000,,POINT (-97.872689021 30.207089991),,1,10/1/99,9/30/00,Austin,TX,
Lennar,,78744,1,0,0,0,0,1-star,,Residential,,,Single Family,7.2,2008,,POINT (-97.693550986 30.200392013),,1,10/1/07,9/30/08,Austin,TX,
Newmark Homes,,78749,0,0,1,0,0,3-star,,Residential,,,Single Family,6,2002,,POINT (-97.873733993 30.203981982),,1,10/1/01,9/30/02,Austin,TX,
Standard Pacific Homes,,78723,0,0,1,0,0,3-star,,Residential,,,Single Family,2013,2016,,POINT (-97.695292997 30.293918001),,1,10/1/15,9/30/16,Austin,TX,
Centex Homes,,78724,1,0,0,0,0,1-star,,Residential,,,Single Family,7.1,2009,,POINT (-97.627303022 30.281864992),,1,10/1/08,9/30/09,Austin,TX,
KB Home,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,7,2005,,POINT (-97.739020967 30.163035002),,1,10/1/04,9/30/05,Austin,TX,
Austin Habitat for Humanity,,78721,0,1,0,0,0,2-star,,Residential,,,Single Family,II,1997,,POINT (-97.690524029 30.282824007),,1,10/1/96,9/30/97,Austin,TX,
Newmark Homes,,78732,0,1,0,0,0,2-star,,Residential,,,Single Family,6,1999,,POINT (-97.890492015 30.382654988),,1,10/1/98,9/30/99,Austin,TX,
Lennar,,78652,0,1,0,0,0,2-star,,Residential,,,Single Family,2013,2019,,POINT (-97.808253978 30.125822998),,1,10/1/18,9/30/19,Austin,TX,
D.R. Horton,,78745,1,0,0,0,0,1-star,,Residential,,,Single Family,7,2005,,POINT (-97.817198978 30.191035001),,1,10/1/04,9/30/05,Austin,TX,
KB Home,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,7,2005,,POINT (-97.741623967 30.152847008),,1,10/1/04,9/30/05,Austin,TX,
Steve Sivells Construction,,,,,,,,,,,,,,,,,,,,,,,,
David Weekley Homes,,78723,0,0,1,0,0,3-star,,Residential,,,Single Family,2008.2,2011,,POINT (-97.70046899 30.293790009),,1,10/1/10,9/30/11,Austin,TX,
Newmark Homes,,78732,0,1,0,0,0,2-star,,Residential,,,Single Family,6,2001,,POINT (-97.904212017 30.378667005),,1,10/1/00,9/30/01,Austin,TX,
David Weekley Homes,,78732,0,1,0,0,0,2-star,,Residential,,,Single Family,7,2007,,POINT (-97.646573017 30.400819997),,1,10/1/06,9/30/07,Austin,TX,
Empire Communities,,78723,0,0,1,0,0,3-star,,Residential,,,Single Family,2016,2020,,POINT (-97.69538897 30.295126001),,1,10/1/19,9/30/20,Austin,TX,
M/I Homes,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,2013,2018,,POINT (-97.755304993 30.155627998),,1,10/1/17,9/30/18,Austin,TX,
ILCOR Homes,,,,,,,,,,,,,,,,,,,,,,,,
Centex Homes,,78724,1,0,0,0,0,1-star,,Residential,,,Single Family,7.1,2009,,POINT (-97.627012002 30.282876981),,1,10/1/08,9/30/09,Austin,TX,
Newmark Homes,,78759,0,1,0,0,0,2-star,,Residential,,,Single Family,6,2001,,POINT (-97.777805961 30.409507002),,1,10/1/00,9/30/01,Austin,TX,
Grand Haven Homes,,78717,0,0,1,0,0,3-star,,Residential,,,Single Family,2012.1,2016,,POINT (-97.790971164 30.481770658),,1,10/1/15,9/30/16,Austin,TX,
Highland Homes Ltd.,,78653,1,0,0,0,0,1-star,,Residential,,,Single Family,2016,2019,,POINT (-97.581422998 30.33476599),,1,10/1/18,9/30/19,Manor,TX,
Centex Homes,,78617,1,0,0,0,0,1-star,,Residential,,,Single Family,7.1,2006,,POINT (-97.628710008 30.171221984),,1,10/1/05,9/30/06,Del Valle,TX,
PSW Real Estate,,78745,0,0,0,0,1,5-star,,Residential,,,Single Family,2012.1,2016,,POINT (-97.783711011 30.206869003),,1,10/1/15,9/30/16,Austin,TX,
David Weekley Homes,,78727,0,1,0,0,0,2-star,,Residential,,,Single Family,6,2003,,POINT (-97.690714969 30.432426017),,1,10/1/02,9/30/03,Austin,TX,
Ash Creek Homes,,,,,,,,,,,,,,,,,,,,,,,,
Affordable Housing Construction,,78741,0,0,1,0,0,3-star,,Residential,,,Single Family,7,2004,,POINT (-97.731231999 30.223588008),,1,10/1/03,9/30/04,Austin,TX,
D.R. Horton,,78754,1,0,0,0,0,1-star,,Residential,,,Single Family,2013,2019,,POINT (-97.640850021 30.356908003),,1,10/1/18,9/30/19,Austin,TX,
Clark Wilson Homes,,78747,0,1,0,0,0,2-star,,Residential,,,Single Family,6,1999,,POINT (-97.778572989 30.136299999),,1,10/1/98,9/30/99,Austin,TX,
KB Home,,78744,1,0,0,0,0,1-star,,Residential,,,Single Family,7,2009,,POINT (-97.728309984 30.19698699),,1,10/1/08,9/30/09,Austin,TX,
MWM DesignGroup,,78741,0,0,1,0,0,3-star,,Residential,,,Single Family,2013,2019,,POINT (-97.725601037 30.242803982),,1,10/1/18,9/30/19,Austin,TX,
Clark Wilson Homes,,78735,1,0,0,0,0,1-star,,Residential,,,Single Family,6,1999,,POINT (-97.836591014 30.25330198),,1,10/1/98,9/30/99,Austin,TX,
PulteGroup,,78653,1,0,0,0,0,1-star,,Residential,,,Single Family,2020,2022,,POINT (-97.581891966 30.330286995),,1,10/1/21,9/30/22,Manor,TX,
Affordable Housing Construction,,78741,0,0,1,0,0,3-star,,Residential,,,Single Family,7,2004,,POINT (-97.731441966 30.223289989),,1,10/1/03,9/30/04,Austin,TX,
Legacy Homes,,78749,0,1,0,0,0,2-star,,Residential,,,Single Family,6,2000,,POINT (-97.877628979 30.205158005),,1,10/1/99,9/30/00,Austin,TX,
DJL Properties & Design,,78756,0,0,0,0,1,5-star,,Residential,,,Single Family,2008.2,2009,,POINT (-97.74165498 30.312747988),,1,10/1/08,9/30/09,Austin,TX,
D.R. Horton,,78754,1,0,0,0,0,1-star,,Residential,,,Single Family,2013,2018,,POINT (-97.643668017 30.354805989),,1,10/1/17,9/30/18,Austin,TX,
Standard Pacific Homes,,78723,0,0,1,0,0,3-star,,Residential,,,Single Family,2008.2,2010,,POINT (-97.703805993 30.292334994),,1,10/1/09,9/30/10,Austin,TX,
Wilshire Homes,,78751,1,0,0,0,0,1-star,,Residential,,,Single Family,II,1996,,POINT (-97.686907993 30.41670098),,1,10/1/95,9/30/96,Austin,TX,
KB Home,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,7,2007,,POINT (-97.749085034 30.151264002),,1,10/1/06,9/30/07,Austin,TX,
DR Horton,,78754,1,0,0,0,0,1-star,,Residential,,,Single Family,2013,2019,,POINT (-97.653104029 30.357102002),,1,10/1/18,9/30/19,Austin,TX,
The Brohn Group,,78653,1,0,0,0,0,1-star,,Residential,,,Single Family,2016,2021,,POINT (-97.578504458 30.329266251),,1,10/1/20,9/30/21,Manor,TX,
GFO Home,,78653,0,0,1,0,0,3-star,,Residential,,,Single Family,2016,2019,,POINT (-97.554591018 30.296862018),,1,10/1/18,9/30/19,Manor,TX,
Lennar,,78617,0,1,0,0,0,2-star,,Residential,,,Single Family,2016,2018,,POINT (-97.590996976 30.151655981),,1,10/1/17,9/30/18,Del Valle,TX,
Lakeline Square Partners,,78729,0,0,0,0,1,5-star,,Residential,,,Single Family,8.1,2009,,POINT (-97.783661223 30.469590118),,1,10/1/08,9/30/09,Austin,TX,
Saldana Homes,,78702,0,0,0,0,1,5-star,,Residential,,,Single Family,2016,2021,,POINT (-97.701735998 30.268897014),,1,10/1/20,9/30/21,Austin,TX,
Austin Habitat for Humanity,,78724,0,0,1,0,0,3-star,,Residential,,,Single Family,7,2004,,POINT (-97.659375033 30.288116005),,1,10/1/03,9/30/04,Austin,TX,
Brookfield Residential,,78744,0,1,0,0,0,2-star,,Residential,,,Single Family,2016,2020,,POINT (-97.716681016 30.154553019),,1,10/1/19,9/30/20,Austin,TX,
Main Street Homes,,78723,1,0,0,0,0,1-star,,Residential,,,Single Family,7.2,2008,,POINT (-97.667929017 30.291634016),,1,10/1/07,9/30/08,Austin,TX,
MileStone Community Builders,,78731,0,1,0,0,0,2-star,,Residential,,,Single Family,2016,2020,,POINT (-97.752264039 30.314743007),,1,10/1/19,9/30/20,Austin,TX,
D.R. Horton,,78752,1,0,0,0,0,1-star,,Residential,,,Single Family,2013,2016,,POINT (-97.719269012 30.343795018),,1,10/1/15,9/30/16,Austin,TX,
David Weekley Homes,,78727,0,1,0,0,0,2-star,,Residential,,,Single Family,7,2004,,POINT (-97.692248019 30.431940998),,1,10/1/03,9/30/04,Austin,TX,
KB Home,,78744,1,0,0,0,0,1-star,,Residential,,,Single Family,7,2003,,POINT (-97.734240013 30.198582988),,1,10/1/02,9/30/03,Austin,TX,
James P Gatzmeyer Builder,,78744,0,1,0,0,0,2-star,,Residential,,,Single Family,6,1999,,POINT (-97.757435002 30.181366014),,1,10/1/98,9/30/99,Austin,TX,
Brookfield Residential,,78744,0,1,0,0,0,2-star,,Residential,,,Single Family,2016,2020,,POINT (-97.716681016 30.154553019),,1,10/1/19,9/30/20,Austin,TX,
KB Home,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,7,2005,,POINT (-97.739537963 30.159932985),,1,10/1/04,9/30/05,Austin,TX,
Lennar,,78744,1,0,0,0,0,1-star,,Residential,,,Single Family,8 legacy,2014,,POINT (-97.701330985 30.198832015),,1,10/1/13,9/30/14,Austin,TX,
Wilshire Homes,,78744,1,0,0,0,0,1-star,,Residential,,,Single Family,II,1997,,POINT (-97.830340042 30.254768017),,1,10/1/96,9/30/97,Austin,TX,
Lennar,,78652,0,1,0,0,0,2-star,,Residential,,,Single Family,2013,2018,,POINT (-97.809943016 30.127762989),,1,10/1/17,9/30/18,Austin,TX,
D.R. Horton,,78727,0,0,0,0,0,1-star,,Residential,,,Single Family,8.1,2012,,POINT (-97.650196011 30.371218007),,1,10/1/11,9/30/12,Austin,TX,
D.R. Horton,,78752,1,0,0,0,0,1-star,,Residential,,,Single Family,2013,2016,,POINT (-97.718270979 30.344297011),,1,10/1/15,9/30/16,Austin,TX,
Newmark Homes,,78749,0,1,0,0,0,2-star,,Residential,,,Single Family,6,1999,,POINT (-97.87665299 30.208283994),,1,10/1/98,9/30/99,Austin,TX,
Perry Homes,,78744,0,1,0,0,0,2-star,,Residential,,,Single Family,2016,2020,,POINT (-97.719153006 30.148188011),,1,10/1/19,9/30/20,Austin,TX,
The Brohn Group,,,,,,,,,,,,,,,,,,,,,,,,
